suite,case_id,tool,backend,dtype,num_work_runs,num_timed_runs,property,horizon,constants,N,H,status,probability,elapsed_seconds,work_seconds,work_std,load_seconds,compile_seconds,warmup_avg_seconds,measured_avg_seconds,compile_std,warmup_std,measured_std,error_message
weather-factory,n13-h20,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,20,,13,20,ok,2.97750769e-09,13.78261873498559,1.8515121550299227,0.07973092287056119,0.0018057389534078538,0.06469291533964376,1.786819239690279,0.0015397729584947228,0.020015098795851723,0.09861631306505603,0.0,
weather-factory,n13-h30,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,30,,13,30,ok,4.3392276e-09,13.818884901003912,1.8702549180015922,0.06507796088185545,0.0017317910096608102,0.06054781631488974,1.8097071016867023,0.0022062459611333907,0.02130749859682911,0.08544699964594026,0.0,
weather-factory,n13-h40,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,40,,13,40,ok,5.7009475e-09,13.887470639019739,1.8475886979916443,0.08999591639470088,0.001758405996952206,0.0586369273175175,1.788951770674127,0.0027790400199592113,0.00874580433601255,0.09872194899742766,0.0,
weather-factory,n13-h50,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,50,,13,50,ok,7.06266739e-09,13.38746345200343,1.8414777293025206,0.013446561020886361,0.0017325759981758893,0.05643778932668889,1.7850399399758317,0.0033892549690790474,0.01919853396841924,0.031954092757674586,0.0,
weather-factory,n13-h60,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,60,,13,60,ok,8.42438729e-09,13.090886067016982,1.74855396366911,0.09316251434018373,0.0015042090089991689,0.04675726899101088,1.7017966946780991,0.004088085028342903,0.011527532944776734,0.09104459600956348,0.0,
weather-factory,n13-h70,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,70,,13,70,ok,9.78610718e-09,13.44663328898605,1.832823465015584,0.058600540002796964,0.0017485040007159114,0.06347567066162203,1.769347794353962,0.0048602279857732356,0.011270362313129813,0.06985901076035801,0.0,
weather-factory,n13-h80,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,80,,13,80,ok,1.11478271e-08,14.462461674003862,1.9566303473548032,0.09203529529550644,0.00174604298081249,0.063619151012972,1.8930111963418312,0.0054731209529563785,0.005904215107024237,0.09222309159947312,0.0,
weather-factory,n13-h90,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,90,,13,90,ok,1.2509547e-08,14.22453199600568,1.8744834560202435,0.024953818320235407,0.0016551780281588435,0.058667285018600523,1.815816171001643,0.005836343974806368,0.012802253018636568,0.0247426629466826,0.0,
weather-factory,n13-h100,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,100,,13,100,ok,1.38712669e-08,14.120869378966745,1.9037380559990804,0.1795415704550445,0.001504747022408992,0.08764299666897084,1.8160950593301095,0.006797479989472777,0.030729917160477686,0.20980267624512586,0.0,
weather-factory,n13-h200,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,200,,13,200,ok,2.74884656e-08,14.61066241399385,1.9261289889885422,0.11152892253411248,0.001740444975439459,0.05830560366545493,1.8678233853230874,0.013167472032364458,0.011839258246060028,0.10217887151987218,0.0,
weather-factory,n13-h300,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,300,,13,300,ok,4.11056642e-08,14.482478550053202,1.818512654339429,0.09309308655135733,0.001536014024168253,0.05209816433489323,1.7664144900045358,0.019727536011487246,0.01837799440343525,0.08512622646295885,0.0,
weather-factory,n13-h400,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,400,,13,400,ok,5.47228627e-08,13.9586026170291,1.9100458336761221,0.07565058043147223,0.0014802499790675938,0.04931458334128062,1.8607312503348414,0.024998745997436345,0.005619290111251092,0.07003670224416166,0.0,
weather-factory,n13-h500,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,500,,13,500,ok,6.83400609e-08,15.428050153015647,2.0807069176613973,0.045155034290132186,0.001624832977540791,0.06130346634502833,2.0194034513163692,0.03167185402708128,0.012181152770605271,0.055205095593762125,0.0,
weather-factory,n13-h600,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,600,,13,600,ok,8.19572589e-08,15.264785475970712,1.8943817466497421,0.11102156275097068,0.0016250690096057951,0.061948799314753465,1.8324329473349887,0.038603235967457294,0.020430032387001505,0.10292721178044992,0.0,
weather-factory,n13-h700,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,700,,13,700,ok,9.55744568e-08,14.816319583973382,2.0914072766900063,0.06358707832821554,0.0015285839908756316,0.04997041233582422,2.041436864354182,0.04585034400224686,0.006620792074490315,0.06594646751195095,0.0,
weather-factory,n13-h800,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,800,,13,800,ok,1.09191654e-07,14.9740801610169,2.019814819660193,0.1134380559843146,0.0017484870040789247,0.05645839798186595,1.963356421678327,0.05212254595244303,0.017179536883661497,0.1277935385055468,0.0,
weather-factory,n13-h900,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,900,,13,900,ok,1.22808852e-07,14.674406288017053,1.903586546657607,0.0997707741240602,0.0016539980424568057,0.06539112899918109,1.8381954176584259,0.05880724103190005,0.0053329615908306064,0.10430940732258523,0.0,
weather-factory,n13-h1000,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,1000,,13,1000,ok,1.36426049e-07,15.114000918983947,1.9712229210029666,0.1827427599826637,0.001763765001669526,0.06031499867094681,1.9109079223320198,0.06453260604757816,0.014678465592096186,0.16860372936829823,0.0,
